"ID","count.11111","count.11112","count.11113","count.11131","count.11132","count.11133","count.11211","count.11212","count.11213","count.11231","count.11232","count.11233","count.11911","count.11912","count.11913","count.11931","count.11932","count.11933","count.12111","count.12112","count.12113","count.12131","count.12132","count.12133","count.12211","count.12212","count.12213","count.12231","count.12232","count.12233","count.12911","count.12913","count.12931","count.12932","count.12933","NUTS_ID"
1,438756,19841,6266875,160983,13220,1919551,1424000,78400,7201215,541993,44502,13162407,7265,47,81783,4574,696,65852,411,8,123490,59217,4659,843592,29851,3172,201009,299308,23726,5927052,41,8066,1164,347,26225,"ES61"
2,24814,437,1056968,92839,4051,4753323,50335,1215,653812,654951,66098,22410876,0,0,0,9801,2419,241639,97,0,3517,26248,2339,638403,0,0,1161,166247,20832,5412205,0,0,2448,163,99545,"ES62"
3,182831,8013,3649189,140926,8692,6687424,203712,10276,1999632,426527,32073,9746890,756,0,14842,9035,1350,246914,147,9,18435,5915,584,272196,0,0,0,43721,5921,821381,0,0,2355,87,80086,"ES42"
