"ID","count.12111","count.12112","count.12113","count.12911","count.12912","count.12913","count.11911","count.11912","count.11913","NUTS_ID"
1,3185210,2146343,23848238,110802,80819,690357,0,0,0,"RO42"
2,46528,23820,598261,6384366,3008729,59843704,5315,1039,26469,"RS12"
