"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11913","NUTS_ID"
1,533476,121754,2937443,342058,64103,2313366,2032,872,13833,0,0,0,0,0,0,0,0,"PL92"
2,324903,342748,4488372,26351,14804,268880,6389,3933,79458,0,0,0,0,0,0,0,0,"PL61"
3,7852359,3171288,34552297,3816032,689766,18739104,303458,49451,1252883,55692,21185,228314,209,4,791,31,165,"PL71"
4,2108852,1618684,12614233,59188,24100,460244,101125,44867,350903,0,0,0,0,0,0,0,0,"PL41"
