"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.91111","count.91112","count.91113","count.91311","count.91313","count.91911","count.91912","count.91913","count.91312","count.92111","count.92112","count.92113","count.92911","count.92912","count.92913","NUTS_ID"
1,7387659,3765543,22861087,1053741,620576,4766264,106123,33313,609729,1115686,587829,4215882,72864,56746,597263,6765,3165,26373,110985,9885,109009,17,11,18990,4363,89581,0,0,0,0,0,0,0,"LT02"
2,4615163,1313730,24108035,64210,9928,309054,104197,18393,632069,2338464,624197,14873795,32247,6563,346144,30548,2036,155619,20416,1318,28929,2436,870,3388,255,34361,66,9977,2737,43274,6947,1047,32378,"LV00"
