"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11211","count.11212","count.11213","count.11221","count.11222","count.11223","count.11313","count.11321","count.11322","count.11323","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12211","count.12212","count.12213","count.12221","count.12222","count.12223","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.11311","count.11312","count.31111","count.31112","count.31113","count.31121","count.31122","count.31123","count.31211","count.31212","count.31213","count.31221","count.31222","count.31223","count.31311","count.31312","count.31313","count.31321","count.31322","count.31323","count.31911","count.31912","count.31913","count.31921","count.31922","count.31923","count.32111","count.32112","count.32113","count.32121","count.32122","count.32123","count.32211","count.32212","count.32213","count.32221","count.32222","count.32223","count.32311","count.32312","count.32313","count.32321","count.32322","count.32323","count.32911","count.32912","count.32913","count.32921","count.32922","count.32923","NUTS_ID"
1,1462394,410842,3511083,2836392,284566,6245658,316724,63328,743538,699904,29860,1129106,55,708,43,14985,1470,106,10281,1074,287,19709,259952,50669,1181290,779663,100039,6860856,96056,5341,337603,50380,2291,170634,1405,544,6996,3151,166,93248,8755,294,108894,3198,625,83426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRJ1"
2,3028199,877887,5939358,1839113,470080,3795845,714409,191777,1520400,332667,55722,553494,36672,1275,1483,3246,29923,6863,77905,4414,854,8043,2204111,817248,7016240,3539150,1477183,11532859,29294,7975,74473,5694,793,21927,76231,42074,102098,93359,74151,220622,6379,1547,58925,4094,1702,96032,41243,15445,1059376,646236,1022766,250170,211360,436744,38045,25732,58282,16415,9802,59732,38614,37421,49297,54219,49285,68904,4897,1950,13910,4639,361,2893,1270456,653561,2489040,3988353,3127681,6553880,3702,2340,13489,11247,8799,25625,116026,122920,144929,678195,669023,725567,3707,3810,28810,12964,9616,137143,"FRJ2"
