"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,1541637,815886,20511295,13608,4367,356538,62111,9838,249757,8264293,3317283,40008458,66575,9726,1694124,257234,71537,887393,"DEE0"
2,236435,93062,1289942,6882,2862,65920,2911,905,11595,3874901,722980,12486428,104752,19660,2174486,101845,8175,654599,"DE40"
