"ID","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12911","count.12912","count.12913","count.11131","count.11132","count.11133","count.11231","count.11232","count.11233","count.11931","count.11932","count.11933","count.12131","count.12132","count.12133","count.12231","count.12232","count.12233","count.12931","count.12932","count.12933","count.31111","count.31112","count.31113","count.31211","count.31212","count.31213","count.31911","count.31913","count.32113","count.32211","count.32212","count.32213","NUTS_ID"
1,13381,5055,127895,61424,11804,593541,200,42,4758,20838,4515,146288,24828,6539,235800,517,303,11178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ES30"
2,763844,18471,9846061,4265107,168963,55940578,55325,4449,555111,149980,11655,2007313,645519,44962,8131817,11995,1587,316798,82870,4736,2010774,435524,24704,8749048,8401,1140,208043,52771,5462,1669176,63577,4105,2043864,4437,226,72490,9360,453,208525,12148,230,101084,264,1236,77,2605,44,14185,"ES42"
