"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19311","count.19312","count.19313","count.19911","count.19912","count.19913","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99313","count.99911","count.99912","count.99913","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12993","count.19993","count.91111","count.91112","count.91113","count.91311","count.91312","count.91313","count.91911","count.91912","count.91913","count.91991","count.91993","count.92391","count.92393","count.92991","count.92992","count.92993","count.99311","count.99991","count.99993","NUTS_ID"
1,3838615,2206508,14270891,451221,395415,2200197,149272,32441,614235,6462,574,40666,303,40,5089,6080,589,133734,128349,90351,542642,14163,18789,80842,126342,24209,259216,226,20,9978,771,2208,81,35419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DK04"
2,4204031,2917123,14977648,802719,639546,3263995,246539,36059,838189,3228,2623,63785,328,60,9567,2777,454,162397,366751,78178,1111439,77059,10186,189518,276653,7720,450758,1286,341,8183,1564,4485,181,118699,32379,19623,228619,6037,4691,46728,1591,1131,15571,126,521,8717,5258,33949,1596,413,5657,3020,403,5720,19,15,246,150,635,1,2126,442,11,1610,"DK05"
