"ID","count.92111","count.92112","count.92113","count.92911","count.92912","count.92913","count.99911","count.99912","count.99913","count.99991","count.99992","count.99993","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19113","count.19911","count.19912","count.19913","count.92311","count.92312","count.92313","count.99111","count.99112","count.99113","NUTS_ID"
1,146,1,5843,1540,39,36054,7876,760,128489,1250,66,9887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FI1D"
2,23192,711,167103,36601,755,344088,117733,2167,1557325,4968,138,88084,48979,2439,359506,1005,120,6375,7559,168,48597,18,49,566,1,4062,1103,4,10393,9859,71,145083,"SE33"
