"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12113","count.12911","count.12912","count.12913","count.91911","count.91912","count.91913","count.92911","count.92912","count.92913","count.12112","count.12311","count.12312","count.12313","NUTS_ID"
1,103257,492,260912,6266,2,73623,3093600,16687,17300155,11179,95269,759209,181,1755043,1646,3,460485,2721,1,145104,0,0,0,0,"NO02"
2,153369,4,103992,0,0,0,2909901,6475,6294346,57079,78136,860840,286,1123180,0,0,0,0,0,0,2,0,0,0,"NO06"
3,4418728,3857,21481292,499626,544,1767475,123112,354,1640034,1720231,6233019,48677,195,491403,0,0,0,0,0,0,1084,213330,213,700487,"SE32"
4,2166865,901,10232232,179986,157,763082,53340,74,382117,1702201,7109556,23427,111,200793,0,0,0,0,0,0,1343,459589,339,1706781,"SE31"
