"ID","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11911","count.11912","count.11913","count.12111","count.12113","count.12211","count.12212","count.12213","count.12911","count.12912","count.12913","count.12112","count.19213","count.19913","count.19993","count.91111","count.91112","count.91113","count.91211","count.91212","count.91213","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92211","count.92212","count.92213","count.92911","count.92912","count.92913","count.99113","count.99211","count.99212","count.99213","count.99911","count.99912","count.99913","NUTS_ID"
1,2853,140,171838,287611,2634,4474844,7813,80,186004,32,28782,37848,987,434554,2388,199,61537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ES24"
2,302935,10363,11813687,2227222,163309,35731930,39906,2322,435632,515296,5550261,796199,33707,12120711,83133,3747,935474,28616,469,27902,147,10234,526,74887,12364,154,96957,1445,101,21890,24165,1609,396292,41547,3144,343020,10219,1054,180263,3721,743,6,17334,835,46,61557,"ES51"
