"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.11321","count.11322","count.11323","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12211","count.12212","count.12213","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.11221","count.11222","count.11223","count.12321","count.12322","count.12323","count.19121","count.19122","count.19123","count.19921","count.19922","count.19923","count.31111","count.31112","count.31113","count.31121","count.31122","count.31123","count.31211","count.31212","count.31213","count.31311","count.31312","count.31313","count.31321","count.31322","count.31323","count.31911","count.31912","count.31913","count.31921","count.31922","count.31923","count.32121","count.32122","count.32123","count.32321","count.32322","count.32323","count.32921","count.32922","count.32923","count.91111","count.91112","count.91113","count.91121","count.91122","count.91123","count.91321","count.91322","count.91323","count.91911","count.91912","count.91913","count.91921","count.91922","count.91923","count.99121","count.99122","count.99123","count.99913","count.99921","count.99922","count.99923","NUTS_ID"
1,5334809,984198,24454480,115608,12833,840604,24465,4696,37037,128289,46947,1046021,148,51,1051,88916,13060,474891,979,273,25221,2666038,380746,10211855,31352,1775,255706,7896,1427,4479,227968,82662,892863,37138,6937,310561,435,12,8867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ES41"
2,6417016,1282007,23995967,3529628,1036215,8641458,7894,3741,33365,143457,17025,610292,89539,53730,95836,212059,52611,1060060,74714,60446,250765,57127,6204,195184,79207,30160,115101,0,0,0,0,0,0,3358,375,15220,552,2,12699,1013,415,1072,4866,1922,2583,3416,1039,13579,164,194,479,302264,152964,303555,91294,39619,89365,1006,3,1491,1718,408,1874,98,1954,336,3338,4329,26195,2482,297,3935,84933,44474,65950,619,984,1759,298,189,299,2337,3870,9083,139449,86557,245082,4693,4549,20758,1254,1031,17694,6973,5881,31740,5779,8750,26117,30,682,1382,6424,"ES12"
