"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11211","count.11212","count.11213","count.11221","count.11222","count.11223","count.11311","count.11312","count.11313","count.11321","count.11322","count.11323","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12211","count.12212","count.12213","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.31111","count.31112","count.31113","count.31211","count.31212","count.31213","count.31311","count.31312","count.31313","count.31911","count.31912","count.31913","count.32111","count.32112","count.32113","count.32121","count.32122","count.32123","count.32311","count.32312","count.32313","count.32911","count.32912","count.32913","count.12221","count.12222","count.12223","count.12321","count.12322","count.12323","count.31121","count.31122","count.31123","count.32321","count.32322","count.32323","NUTS_ID"
1,6086815,163040,9819155,632273,50223,2503928,59329,5612,281641,11257,311,27980,376982,6926,177149,1546,430,22624,32774,2167,119880,1318,248,7223,6617001,583314,22517029,58551,15619,146551,1526,81,29713,991087,52000,457592,177200,16985,788280,1619,105,1137,655835,11725,484112,2658,25,6867,93527,832,26661,1238,82,2196,3671259,451734,6445139,3850,1434,4832,630502,57624,395017,33540,6554,99887,0,0,0,0,0,0,0,0,0,0,0,0,"FRC1"
2,312086,148766,1265316,2817732,1925105,8741387,0,0,0,9622,3310,34770,5788,3485,9096,56161,55957,47785,6313,1822,36022,8924,3688,106448,1586078,663211,7258929,780746,586317,3238154,0,0,0,31053,13703,58855,33548,8665,165633,7682,8545,154385,0,0,0,0,0,0,0,0,0,0,0,0,144546,39039,319022,29429,11817,66466,11844,3366,10970,1896,163,6594,472,307,5519,28482,22976,41205,4553,673,5138,1703,963,827,"FRC2"
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,910031,147826,1569714,12720,5218,44564,0,0,0,205752,21853,157826,9853,424,23462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186,195,617,0,0,0,0,0,0,0,0,0,0,0,0,1160,909,282,0,0,0,0,0,0,"FRK2"
