"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11211","count.11212","count.11213","count.11221","count.11222","count.11223","count.11311","count.11312","count.11313","count.11321","count.11322","count.11323","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12211","count.12212","count.12213","count.12221","count.12222","count.12223","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.19111","count.19112","count.19113","count.19121","count.19122","count.19123","count.19911","count.19912","count.19913","count.19921","count.19922","count.19923","count.91111","count.91112","count.91113","count.91121","count.91123","count.91311","count.91313","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92123","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99911","count.99912","count.99913","NUTS_ID"
1,5313689,348863,30362747,621792,11441,4764289,39408,1596,88744,940,20,2977,16175,829,563793,41252,598,604405,68549,4043,304228,1744,55,10405,1954960,512819,13252206,37461,2311,301149,5304,837,34392,27,1,215,84104,35915,129019,1039,179,12256,82585,20211,887528,287,100,11792,7,3,2198,107,14,4232,611,38,18001,429,42,9407,60713,5173,751013,1,170,2,4098,3361,357,85453,33508,25349,409204,46,5405,2290,95030,74,17,3315,504,35,20301,"ITF3"
2,2035000,80141,5074967,0,0,0,166575,1709,112170,0,0,0,190,17,44741,0,0,0,8827,195,34687,0,0,0,160086,15579,754213,0,0,0,3088,53,7944,0,0,0,171,1,14216,0,0,0,1852,51,22933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ITF5"
