"ID","count.11111","count.11112","count.11113","count.11131","count.11132","count.11133","count.11211","count.11212","count.11213","count.11231","count.11232","count.11233","count.12111","count.12113","count.12131","count.12132","count.12133","count.12231","count.12232","count.12233","count.11911","count.11912","count.11913","count.11931","count.11932","count.11933","count.12112","count.12211","count.12212","count.12213","count.12913","count.12931","count.12932","count.12933","NUTS_ID"
1,58160,55,376971,27993,35,117695,32334,451,314612,38765,278,268605,6781,36718,6459,5,53354,17255,4,68651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ES61"
2,404734,10298,8339187,1377902,93365,15649380,507026,4805,4937993,3358418,74368,35692231,13804,126477,359123,32457,11759023,509076,36745,13882309,5514,128,35211,72460,9084,579350,24,11583,305,400186,260,38996,5024,247973,"ES42"
