"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.92113","count.92311","count.92313","count.92913","NUTS_ID"
1,2972139,80307,31085243,2239190,62005,23212284,257938,8218,11694739,4150,215,12401,133650,"FI19"
2,1332231,18506,15874324,481898,6182,5368825,90690,766,5064099,0,0,0,0,"FI1D"
