"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11211","count.11212","count.11213","NUTS_ID"
1,2331023,397102,23224245,12098,4748,399031,72966,7605,264709,2620688,522541,30967669,14775,5462,455631,104988,15032,1038965,0,0,0,"BG32"
2,1683414,289728,12001666,20683,5846,254250,30900,4259,67760,107930,45223,749810,6217,8281,62978,172,41,559,37293,3695,74512,"BG33"
3,0,0,0,0,0,0,0,0,0,81718,17840,309603,0,0,0,1619,983,64259,0,0,0,"RO22"
4,0,0,0,0,0,0,0,0,0,1361931,841806,17235242,695,22695,66610,91014,17364,940535,0,0,0,"RO31"
5,0,0,0,0,0,0,0,0,0,67967,38479,893375,0,0,0,2009,1071,28690,0,0,0,"RO32"
