"ID","count.92111","count.92112","count.92113","count.92311","count.92313","count.92911","count.92913","count.99913","count.12921","count.12922","count.12923","count.19921","count.19922","count.19923","count.19993","count.92921","count.92922","count.92923","count.92991","count.92992","count.92993","count.99921","count.99922","count.99923","count.99991","count.99992","count.99993","NUTS_ID"
1,350,3,247,1425,75,4885,3171,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DK05"
2,0,0,0,0,0,0,0,0,19978,3086,664308,1375,119,50953,3328,16649,5405,372475,40,1,2165,8267,2369,207547,211,2,2173,"NO09"
