"ID","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12911","count.12912","count.12913","count.11311","count.11313","count.12311","count.12312","count.12313","count.11312","count.31111","count.31112","count.31113","count.31211","count.31212","count.31213","count.31911","count.31912","count.31913","count.91111","count.91112","count.91113","count.92111","count.92112","count.92113","NUTS_ID"
1,18799,2213,85936,755,631,4502,401,135,2082,46932,5505,147272,10832,498,13917,1933,54,5278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ITF1"
2,2797649,730069,10618620,816969,192277,3369028,12663,2584,111157,346284,72551,2053251,47927,7455,253354,7285,985,86642,3,347,12646,1402,8102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ITF2"
3,4429360,922702,20739999,175517,30051,1167937,46206,3604,149628,559330,182699,3556187,7725,1705,75177,26022,5688,174926,2637,91408,1036,205,25506,1208,57734,9291,205431,6828,1757,22265,101,35,1814,0,0,0,0,0,0,"ITF3"
4,2256978,305743,20636042,507204,61587,3329159,84817,11547,346488,456549,184593,14480402,58411,13504,565405,31890,5311,172833,73,7427,0,0,0,0,0,0,0,0,0,0,0,0,0,5638,2309,102523,2878,1134,106518,"ITF4"
5,101580,8149,735943,3172,471,30182,2211,77,9322,78241,8005,666961,2157,45,8596,2604,179,20998,0,0,0,0,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ITF5"
