"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.31111","count.31112","count.31113","count.31911","count.31912","count.31913","NUTS_ID"
1,4429193,4432882,22806893,68547,28667,804739,56729,18482,397156,15701,3775,48428,568,81,11710,696,214,11699,81087,68017,697417,6070,5520,58210,"LT02"
2,29460,19020,131676,58,110,89,757,396,15490,2629610,2379505,8359772,297210,322940,1932384,26080,19843,409356,0,0,0,0,0,0,"PL62"
3,2683,1021,8547,17,1,685,156,79,4111,3687875,3612721,7240724,1024746,728927,7446526,73474,47671,1056659,0,0,0,0,0,0,"PL84"
