"ID","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32913","count.12121","count.12122","count.12123","count.12321","count.12322","count.12323","count.12921","count.12923","count.31111","count.31112","count.31113","count.31311","count.31312","count.31313","count.32912","NUTS_ID"
1,3232850,266657,13005388,35383,6701,631153,1226200,30669,3837472,56706,7146,282276,6012865,262576,12183077,6312,1357,75594,8682759,169935,8087498,329394,11825,993422,16718,37,2165,15746,614,5052,405,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ES43"
2,522739,37704,1578177,18887,2154,122477,155100,5510,130693,14803,494,109950,6599061,314904,10568987,36620,6104,208758,6447309,194000,6868089,98663,4793,272325,630557,16425,551688,1915667,54917,1297519,2666,3475,107369,2578,729429,19266,436,145797,37,7463,152050,8383,107216,252513,14736,185403,9,"PT1C"
