"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.12321","count.12323","count.12911","count.12912","count.12913","NUTS_ID"
1,1182852,25105,8218757,72709,57,61123,22055,247,1350855,13494,73,60445,19033167,1897680,53913885,79339,3,252578,529679,32155,7307592,7,2810,184437,31240,550706,"RO42"
2,0,0,0,0,0,0,0,0,0,0,0,0,73159,5169,348117,0,0,0,20,4,2476,0,0,771801,69479,3906725,"RS12"
