"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,170847,2205,3567881,6105,16,148214,7701,40,305102,"SE12"
2,2946427,167099,40043741,3034450,109040,42314975,298879,15457,6861821,"SE31"
