"ID","count.11111","count.11112","count.11113","count.11313","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19313","count.19911","count.19912","count.19913","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99911","count.99912","count.99913","count.11311","count.11312","count.11911","count.11913","count.99313","NUTS_ID"
1,8295,1686,34913,278,8908,1540,66292,7562,572,44776,2869,704,7964,5022,309,54069,1000,2672,1165,17802,7037,1043,40807,1559,989,24004,70,9,2296,1317,156,2127,5289,4104,10751,0,0,0,0,0,"DE80"
2,23930,9378,86539,14154,7729294,1896072,30345845,236874,49047,2381908,122993,33943,621810,2875,637,12367,9,14645,7260,65234,645250,218379,2252248,6470,1359,130547,109885,67563,506538,4203,2235,11751,26761,12012,113011,1189,225,143,4350,247,"PL42"
