"ID","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.32913","NUTS_ID"
1,567272,39634,2125019,2018,8,10474,58478,1459,681843,2028,5,8939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PT1B"
2,12311180,480396,27905463,557,5,9438,7137102,198753,13421089,103661,2102,626237,42699,1594,429785,11250,162,45989,54,56,2390,238789,14842,420506,404209,9290,431698,1940,1,5559,"PT1C"
3,4301523,254076,19552722,14608,657,27735,590116,13233,7084329,45935,1926,359167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"PT1D"
