"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11911","count.11912","count.11913","NUTS_ID"
1,35606,55783,625824,1044,62,5394,1730,344,25251,0,0,0,0,0,0,"PL61"
2,7636,2926,119477,0,0,0,0,0,0,0,0,0,0,0,0,"PL71"
3,9365233,5951466,80466854,33205,15954,395841,344106,86034,1673654,61895,40941,672359,1864,111,9406,"PL41"
