"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19113","count.19911","count.19912","count.19913","count.92111","count.92112","count.92113","count.92311","count.92313","count.92911","count.92912","count.92913","count.99113","count.99911","count.99912","count.99913","count.99991","count.99992","count.99993","count.32111","count.32112","count.32113","count.32211","count.32212","count.32213","count.32911","count.32912","count.32913","count.92211","count.92212","count.92213","count.99111","count.99112","NUTS_ID"
1,48119,751,1492281,245,3,43484,45312,2814,1501637,6,2118,1889,59,76886,7921,118,457299,79,8689,27928,914,1016888,632,29902,149,447447,3294,35,12520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EL41"
2,61,0,1001,0,0,0,0,0,0,0,0,0,0,0,35653,993,108735,0,0,1883,27,17762,55299,52363,4330,500196,2784,110,17755,72841,1217,304938,154,13,3460,423,13,8665,945,9,4108,17393,634,"EL42"
