"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11311","count.11312","count.11313","count.11323","count.11911","count.11912","count.11913","count.12121","count.12122","count.12123","count.12211","count.12213","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.11321","count.11322","count.12921","count.12922","count.12923","NUTS_ID"
1,126950,43342,680392,7072,226,518605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HU12"
2,269191,72773,702507,7855,141,475101,372,64,2922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HU31"
3,4443430,1165002,45117662,261317,20457,4462485,1321727,173922,7357406,56983,2310,387396,50850,7983,682750,2583,6659,504,46643,50614,317,1183713,1,4999,5921,1,90526,113236,24945,688668,0,0,0,0,0,"SK02"
4,4605418,825132,13974852,483524,32148,4114778,456236,43677,1667437,43321,838,635171,20956,958,91164,9863,2304,720,12564,145219,1622,1860982,0,0,13096,701,41902,46695,19631,200431,135,2,471,4,9525,"SK03"
