"ID","count.12111","count.12112","count.12113","count.12311","count.12313","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11913","count.12312","count.12911","count.12912","count.12913","NUTS_ID"
1,24849,2442,64328,1207,15792,0,0,0,0,0,0,0,0,0,0,0,0,"PL81"
2,5762467,709191,30877265,1243337,7184375,423292,53656,1901927,98881,5145,1002551,829,4171,90491,102964,23861,677403,"PL82"
