"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.12211","count.12213","NUTS_ID"
1,441708,486939,6548472,15647,34641,447668,108685,60132,765094,475819,500190,3945179,30526,29955,360878,49683,22624,633248,0,0,"DED5"
2,1893298,755219,27435156,16163,13454,482499,144612,42987,1023151,4020995,1776735,29739901,60107,30417,1120301,273769,69400,1665597,359,2141,"DEE0"
3,620979,220931,8217738,8392,6348,213182,20525,6128,112711,428474,243356,3931811,15615,18041,311166,9361,7908,83985,0,0,"DEG0"
