"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19113","count.19911","count.19912","count.19913","NUTS_ID"
1,10734199,3106668,39823071,1133586,252080,9763250,209579,29153,2299920,6,10,683,503,780,"PL62"
2,2041659,1249318,19924534,1066,1,19497,101967,33685,529742,0,0,0,0,0,"PL63"
3,569032,464335,7289385,4653,3205,115762,13403,3663,245530,0,0,0,0,0,"PL61"
