"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19311","count.19312","count.19313","count.19911","count.19912","count.19913","count.19991","count.19992","count.19993","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.92991","count.92992","count.92993","count.99911","count.99912","count.99913","count.99991","count.99992","count.99993","count.91111","count.91113","count.91911","count.91913","count.99113","NUTS_ID"
1,858377,52173,8646102,210549,13779,1902938,34093,1444,403912,3398110,307567,27411499,555827,47123,4262441,145507,9625,1937996,28978,3917,161103,380,30,3288,28531,1880,358389,915,26,7811,46967,12097,313924,2352,658,14940,20212,1242,191537,83,13,1869,3346,182,79977,2169,75,19312,0,0,0,0,0,"FI1D"
2,639942,26891,4960203,140426,2344,1095184,27001,1869,291353,2654438,95898,22509698,767580,14326,6552435,206757,12634,2242793,6,0,118,0,0,0,2223,59,11846,0,0,0,111416,2058,727554,2932,7,10561,126538,4182,832696,26,5,1376,20442,340,159443,565,111,21005,1385,22145,5,9,234,"SE33"
