"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.11911","count.11913","count.12211","count.12212","count.12213","count.12921","count.12922","count.12923","NUTS_ID"
1,2469,88,12992,10041,174,2189,43228,11687,191287,22680,2614,300642,34047,490,21881,1040,921,11051,548,284,1668,0,0,0,0,0,0,0,0,"ES41"
2,208919,3210,261050,149162,2216,271859,4352694,100563,6048918,45336,567,388002,2660492,65446,3422919,1184,52,184631,50198,387,491097,94,4120,4314,2,3184,6124,14,9087,"ES43"
3,43,31,347,244,0,1141,9710611,207059,16142313,2241509,132277,20738185,4707409,54459,10861260,544002,19406,11231510,23428,779,271207,0,0,9135,1,864,28175,1381,249494,"PT19"
4,0,0,0,0,0,0,338962,18228,972889,0,0,0,644699,64982,1327693,0,0,0,756,36,47623,0,0,0,0,0,0,0,0,"PT1C"
