"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,7783490,757689,11945712,1407892,63937,2270889,40114,7282,140104,"RO11"
2,17877349,1697796,40352223,3464769,372159,6152487,84697,15397,282406,"RO12"
3,872009,3450,4212182,59289,93,94085,6097,61,36342,"RO21"
