"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19311","count.19312","count.19313","count.19911","count.19912","count.19913","count.91111","count.91112","count.91113","count.91311","count.91312","count.91313","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99311","count.99312","count.99313","count.99911","count.99912","count.99913","count.12991","count.12992","count.12993","count.92991","count.92992","count.92993","count.99991","count.99992","count.99993","count.19991","count.19992","count.19993","NUTS_ID"
1,165291,233997,1986709,76368,108664,788666,7031,5912,45192,34737,24851,172413,5494,10224,49857,1264,846,8772,1122,671,17878,5429,9366,34725,2712,2377,12410,13289,14953,107755,2834,622,7306,11427,6856,40974,5301,1777,12974,3567,88,3286,18614,5419,30147,3319,271,1993,4481,28,753,16889,686,10908,0,0,0,0,0,0,0,0,0,0,0,0,"DEF0"
2,0,0,0,0,0,0,0,0,0,114865,74714,1480631,25235,20530,304645,19568,4275,69611,156,94,4061,0,0,108,775,107,14671,0,0,0,0,0,0,0,0,0,72520,32611,1059157,18133,9957,269205,94579,28129,345614,882,290,66909,17,33,7416,2764,1006,74115,232,93,151,2174,62,2192,3868,139,9227,0,0,0,"DK02"
3,0,0,0,0,0,0,0,0,0,1443982,1081763,12041555,1337652,986432,10542656,196236,133718,1296821,1412,552,101127,230,182,14294,3731,1116,195506,0,0,0,0,0,0,0,0,0,182557,154610,1684036,108444,117583,1058967,359139,233403,1776615,607,270,8276,209,76,5515,5825,1291,237313,367,22,3131,2317,1894,3180,226,45,3985,14,2,1344,"DK03"
