"ID","count.11921","count.11922","count.11923","count.19921","count.19922","count.19923","count.91921","count.91922","count.91923","count.12921","count.12922","count.12923","count.11993","count.19993","count.91911","count.91912","count.91913","count.92913","count.92921","count.92922","count.92923","count.99913","count.99921","count.99922","count.99923","count.99991","count.99992","count.99993","NUTS_ID"
1,7063641,488104,26072543,3,1,27629,872,85,159364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BA01"
2,6931318,170815,14260323,0,0,0,0,0,0,793669,42219,828653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BA02"
3,1116166,65837,12656788,1932,73,279327,135112,2973,3728967,1131,13,147932,654,14,57,15,134508,162,857,21,55166,7598,11145,525,570237,125,2,4558,"HR03"
