"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","NUTS_ID"
1,1366050,395328,12394487,283054,62176,3136928,56490,10638,2716687,0,0,0,0,0,0,0,0,0,"SE12"
2,6163467,1783021,46080847,2026481,483393,16363137,175170,28546,4436933,204070,47652,879778,112872,17101,624858,7765,1316,141755,"SE21"
