"ID","count.11111","count.11112","count.11113","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12911","count.12912","count.12913","count.11121","count.11122","count.11123","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.12121","count.12122","count.12123","count.12211","count.12212","count.12213","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12921","count.12922","count.12923","count.11323","NUTS_ID"
1,16917,2289,442583,201,25,6315,334911,34788,4028884,45884,4808,734177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"DEB3"
2,207951,72327,1815870,2908,1003,27368,1557153,514087,12763190,63298,17028,426542,1586,641,14344,4796,1665,67186,4821,1657,21173,202586,27124,2835991,2500,642,24711,111715,61071,719154,13407,4935,172317,0,0,0,0,"DE26"
3,203535,90740,2041707,6678,1220,70919,2362212,626999,19272753,145331,23287,1400081,6310,2610,26950,0,0,0,2831,2489,10469,475293,186351,3024379,0,0,0,420301,165743,1394198,89010,35034,300480,2425,1122,6488,0,"DE71"
4,1000013,677184,10224758,14820,4415,96015,202695,72415,1707874,8518,2064,50797,0,0,0,38836,22759,285765,1734,1201,61242,0,0,0,3006,646,12585,850,549,33421,0,0,0,0,0,0,0,"DE11"
5,913184,597867,8944903,13252,6303,124096,1090413,500778,11062913,57763,14564,883320,6415,1429,26222,92,47,1264,2755,3148,93068,52759,11622,851495,0,0,0,40058,21096,296632,5864,2404,34355,75,3,2387,818,"DE12"
