"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.31111","count.31112","count.31113","count.31121","count.31122","count.31123","count.31311","count.31312","count.31313","count.31911","count.31912","count.31913","count.32111","count.32112","count.32113","count.32121","count.32122","count.32123","count.32311","count.32312","count.32313","count.32321","count.32322","count.32323","count.32911","count.32912","count.32913","count.32921","count.32922","count.32923","NUTS_ID"
1,6656219,917211,12365485,9432,1808,23273,16959,2619,66922,3316628,370813,2024638,27936,5691,126766,7262496,816693,8246935,3020973,729164,7244652,4475500,549468,2291469,752443,108065,479232,79055,15439,282647,5798,1706,87396,1390487,76991,868094,11852,723,10570,1694578,129034,667076,13456,891,20463,3106461,293776,2221923,222686,26631,124391,3680042,368720,1560578,152096,19447,47530,58033,15871,174134,978,35,937,"FRC1"
2,127278,33305,259805,0,0,0,0,0,0,79959,12754,37786,387,76,2526,671948,137489,1414366,0,0,0,1006074,180528,767938,0,0,0,17444,4897,49561,0,0,0,399756,109599,557927,0,0,0,497044,92110,238142,3658,1598,6409,2647492,577521,4530588,0,0,0,3237116,619750,2038942,0,0,0,61820,21966,214426,0,0,0,"FRK1"
