"ID","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.11311","count.11312","count.11313","count.12311","count.12312","count.12313","count.12913","count.12911","count.12912","count.19111","count.19112","count.19113","count.19911","count.19912","count.19913","count.31111","count.31112","count.31113","count.31211","count.31212","count.31213","count.31311","count.31312","count.31313","count.31911","count.31912","count.31913","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.32913","count.91111","count.91112","count.91113","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92911","count.92912","count.92913","count.99913","count.19311","count.19312","count.19313","count.99111","count.99112","count.99113","count.99911","count.99912","NUTS_ID"
1,6849,1579,63102,3020,961,29581,8906,3317,48968,5550,3825,18989,315,124,2758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRB0"
2,5970,5752,74233,0,0,0,7,0,1468,3035,2037,56888,0,0,0,274,682,9239,466,554,15285,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FR10"
3,773501,122286,1043194,1546,24,3663,8609,2067,26143,1185056,268864,2389313,211,13,1255,3216,1357,3306,246657,85568,527429,50495,20870,2747,769,402,1667,5857,1189,24881,2025802,261881,1444289,2133,365,5002,1947,214,508,7620,733,18124,2135210,418987,2198454,71032,14876,90032,3189,563,10771,24331,2397,30836,97,9,549,160,11,3147,621,86,3513,11,0,0,0,0,0,0,0,0,"FRD1"
4,4506871,2146064,26834106,103639,44387,731216,50252,16682,325078,5519445,1459576,30059868,56563,21143,474405,207756,97788,816703,377417,109933,1932220,1601150,228940,73928,35497,6831,127058,3791,3542,76247,249765,130840,1027630,2021,422,7546,10832,10623,56846,0,0,0,105158,14896,141403,11908,1516,9816,2240,51,5209,30754,16203,311625,11041,9158,53224,2140,949,56510,3298,2394,155493,113994,1245,1091,164,1402,554,13654,10543,1102,"FRD2"
