"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11911","count.11912","count.11913","count.11313","NUTS_ID"
1,123701,84546,1317218,4672,297,64719,1166,115,10428,0,0,0,0,0,0,0,"PL92"
2,818387,276789,5740028,1311,121,38880,9284,3179,65179,9672,307,25932,963,3,5171,0,"PL81"
3,4197928,741871,17686721,231594,50920,4435970,95834,11253,724933,2193,126,77365,492,319,13983,6323,"PL84"
