"ID","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12211","count.12212","count.12213","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.32913","NUTS_ID"
1,7322068,1806300,23064680,41648,20958,750440,2093039,351847,2115687,208789,23235,777319,3585124,1046278,8845705,8743,3746,119472,1036448,325318,881889,28040,6561,128245,117079,31969,125206,102432,35965,87727,0,0,0,"FRB0"
2,0,0,0,0,0,0,0,0,0,0,0,0,1861102,531762,1589603,0,0,0,1972690,579439,1197449,6965,3194,21290,2971287,1018406,2874773,2354933,907165,1775698,9717,3097,34686,"FRI2"
3,3100107,723823,10582070,5912,3090,74184,762818,145727,1071831,21873,3917,78678,1710258,367476,3622924,978,197,11132,1309075,326195,1009128,44638,8113,210643,0,0,0,0,0,0,0,0,0,"FRI3"
