"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19121","count.19122","count.19123","count.19311","count.19312","count.19313","count.19911","count.19912","count.19913","count.31111","count.31112","count.31113","count.31121","count.31123","count.31911","count.31912","count.31913","count.32111","count.32112","count.32113","count.32911","count.32912","count.32913","count.39111","count.39113","count.39121","count.39123","count.91111","count.91112","count.91113","count.91211","count.91212","count.91213","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92212","count.92213","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99911","count.99912","count.99913","count.99993","count.11221","count.11222","count.11223","count.11321","count.11322","count.11323","count.11921","count.11922","count.11923","count.12121","count.12122","count.12123","count.12211","count.12212","count.12213","count.12921","count.12922","count.12923","count.19921","count.19922","count.19923","count.19991","count.19992","count.19993","count.31122","count.31321","count.31322","count.31323","count.31921","count.31922","count.31923","count.39122","count.39321","count.39323","count.39923","count.91121","count.91122","count.91123","count.91311","count.91313","count.91321","count.91322","count.91323","count.91921","count.91922","count.91923","count.92121","count.92122","count.92123","count.92311","count.92312","count.92313","count.92321","count.92322","count.92323","count.92921","count.92922","count.92923","count.99121","count.99122","count.99123","count.99313","count.99323","count.99921","count.99922","count.99923","count.99991","count.99992","NUTS_ID"
1,202241,45502,465669,500,7,6081,2395,15,2190,892,254,1312,7883,2985,33508,75788,39287,135274,3781,1530,4672,12877,7216,39762,12941,313,164527,84,9,7575,1119,6,1142,7358,207,216303,567084,162683,889557,365,4197,230,789,4713,154544,79938,301657,85,41,2042,196,548,56,728,18014,1743,46545,327,271,250,3420,1132,7397,4187,331,4338,1450,599,812,87,6324,2493,1288,18199,8916,1082,47696,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EL63"
2,31790,28719,566029,336339,37867,3727260,13,15,1590,68,22,4360,1469,410,74363,252040,118024,1322032,2,1,2605,21753,6264,120216,0,0,278,49,9,4668,0,0,0,15987,2251,15173,0,0,0,113114,408856,0,0,0,0,0,0,0,0,0,0,0,1,4648,16727,6201,656828,0,0,0,6417,554,360949,65495,19644,331518,0,0,41935,12549,233477,6111,480,171366,32594,6859,624113,8197,58,83,741,2153,252,70595,5509,1494,106769,139068,17307,562562,335,62,2103,9251,821,30946,249,31,12238,40,8,1447,4123,17,1,1430,5445,4,20027,8,2,955,4867,257921,20181,1601329,16,534,3024,264,56249,17307,1201,191549,26419,6826,84204,220,156,6476,81,3,3135,5482,442,89341,3233,429,67695,2821,376,1421,259,46816,330,5,"EL62"
