"ID","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.32111","count.32112","count.32113","count.32121","count.32122","count.32123","count.32311","count.32312","count.32313","count.32321","count.32322","count.32323","count.32911","count.32912","count.32913","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11211","count.11212","count.11213","count.11221","count.11222","count.11223","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12211","count.12212","count.12213","count.12223","count.12921","count.12922","count.12923","count.31111","count.31112","count.31113","count.11321","count.11322","count.11323","count.12221","count.12222","count.31121","count.31122","count.31123","count.31211","count.31212","count.31213","count.31221","count.31222","count.31223","count.31311","count.31312","count.31313","count.31321","count.31322","count.31323","count.31911","count.31912","count.31913","count.31921","count.31922","count.31923","count.32211","count.32212","count.32213","count.32221","count.32222","count.32223","count.32921","count.32922","count.32923","NUTS_ID"
1,82812,50491,654690,128099,80599,512993,125584,101415,414313,119577,65247,269173,310,57,54560,2934,1617,27800,21935,7176,19039,1896,1738,8006,41664,25025,18661,10,28,8560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRI2"
2,2879203,1129950,3278656,2711583,552737,1596918,21020,6683,43795,50290,12375,175855,3809,1338,13065,18977,12471,26219,0,0,0,106,80,27,0,0,0,0,0,60,446478,236676,597013,19818,9096,16010,45461,34641,80185,702,231,971,10051,6010,4504,1460,144,1459,7303,4603,21767,136,3904,31,3565,70,489,1184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRJ1"
3,295042,98702,694455,1188194,386436,2376158,5896,2070,15289,135548,69188,101443,1116,331,8499,816467,313124,1516251,3556504,1466490,4459326,66540,34569,37103,620317,337774,421960,5442,4092,86848,358748,170804,413065,63212,28048,71918,17077,4371,38172,4592,319,8188,925,1034,550,0,0,0,24502,6075,50079,5866,2433,767,44400,233486,140032,246986,21342,6585,11589,1467,102,470225,264272,423284,1767,645,7429,586,148,1356,11095,7249,10039,100741,65291,64325,552,189,20738,2563,1859,7706,11032,1765,25792,3354,462,8354,4868,1189,43312,"FRJ2"
4,1528758,1044022,3545716,7843445,2604230,7570237,149116,82614,173801,626857,395027,1104491,1225,1116,37261,1418943,1341802,1809497,6110814,4441233,7475969,230320,203963,181031,2148422,2012585,2495547,8555,8909,140140,112447,132927,307278,58116,27308,46714,32,1216,1252,0,0,0,0,0,0,0,0,0,0,0,0,0,21448,3513,50189,85893,110936,134841,27945,17854,17338,0,0,467571,320701,597640,0,0,0,0,0,0,9582,13156,9448,374260,252818,286268,2028,2907,12899,4263,2848,19938,0,0,0,0,0,0,22303,14039,99155,"FRK1"
