"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19113","count.19911","count.19913","count.91111","count.91112","count.91113","count.91911","count.91912","count.91913","count.99113","count.99913","count.11211","count.11212","count.11213","count.11221","count.11223","count.11321","count.11322","count.11323","count.11921","count.11922","count.11923","count.12211","count.12212","count.12213","count.12321","count.12322","count.12323","count.12921","count.12922","count.12923","count.19111","count.19112","count.19213","count.19912","count.91121","count.91122","count.91123","count.91211","count.91212","count.91213","count.91311","count.91312","count.91313","count.91321","count.91322","count.91323","count.92111","count.92112","count.92113","count.92121","count.92122","count.92123","count.92211","count.92212","count.92213","count.92311","count.92312","count.92313","count.92321","count.92322","count.92323","count.92911","count.92912","count.92913","count.99111","count.99112","count.99213","count.99911","count.99912","NUTS_ID"
1,397269,17161,1431398,26098,278,50661,687,28,22987,6870,303,22523,434593,53059,1190742,14197,13,19444,5722,1052,49158,5793,380,16012,28,3,182,20410,1457,89920,623,29,12120,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ITF5"
2,3304760,1040917,13534565,587225,44226,3682849,10960,4786,197490,108140,15508,313599,3389004,1107235,16920472,715510,120105,6808148,25065,7442,791741,74630,27962,345222,22755,1853,30395,194906,30520,637370,14009,5209,70612,26933,58235,153121,46242,424304,31,549,17052,1326,216332,3840,297,8814,44481,9571,114347,31602,8796,1276196,10105,495,121260,2203,843,117,818,28586,2928,250546,31914,4937,57613,1341,253,5604,2813,184,45423,197012,80397,1149698,13733,1189,120209,15040,2495,43170,206,1,17636,2802,442,64473,21197,8009,145080,4571,2279,930,6377,2749,"ITF6"
