"ID","count.12111","count.12112","count.12113","count.12911","count.12912","count.12913","count.11111","count.11112","count.11113","count.11911","count.11912","count.11913","NUTS_ID"
1,17433,23093,789789,938,313,54592,0,0,0,0,0,0,"HU23"
2,444332,314148,6507934,2503,3616,88058,190,157,22129,0,0,0,"HU33"
3,5549,1394,57473,964218,511254,15330031,0,0,0,12565,11852,107427,"HR02"
4,35692,13389,442898,3137332,1594844,69005965,0,0,0,19141,3381,476370,"RS12"
