"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,1301247,4154,8662382,16641,4,145163,28140,66,327162,3368051,70311,17165259,40583,33,348649,112009,1289,888940,"FI1D"
2,188613,45,1416198,2113,0,28419,10120,8,62547,10017619,2966,52776655,79566,22,904307,276560,267,1753892,"SE33"
