"ID","count.11111","count.11112","count.11113","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19911","count.19912","count.19913","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.32913","count.39111","count.39112","count.39113","count.39311","count.39312","count.39313","count.39911","count.39912","count.39913","count.39991","count.39992","count.39993","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99911","count.99912","count.99913","count.99992","count.99993","count.12991","count.12992","count.12993","count.19991","count.19992","count.19993","count.91911","count.91912","count.91913","count.92991","count.92992","count.92993","count.99991","NUTS_ID"
1,8956,154,183122,1827,130,11337,562444,91750,6783516,58217,4230,1042603,24385,18199,430907,5451,1734,55871,6860,1546,43474,517445,139120,1780846,24853,2694,165780,4738,1359,64915,996,231,24639,29,274,5432,1213,542,25865,739,235,5944,98058,65193,1425669,1472,40,32688,20198,15178,387697,1363,1687,27877,13713,4558,115686,643,1302,0,0,0,0,0,0,0,0,0,0,0,0,0,"EL41"
2,0,0,0,48808,606,500361,0,0,0,0,0,0,5921535,324176,17148627,0,0,0,16063,557,122360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348935,60413,1511408,0,0,0,56503,2739,175206,662,56089,15802,1604,20159,1610,524,4769,4714,40,48923,54292,1201,117807,23381,"TR22"
3,0,0,0,80430,2438,215147,0,0,0,0,0,0,4277037,140956,9197427,0,0,0,107133,15555,319137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250718,15630,442145,0,0,0,16977,852,150355,69,16222,0,0,0,0,0,0,0,0,0,890,0,8042,1230,"TR31"
