"ID","count.12111","count.12112","count.12113","count.12911","count.12912","count.12913","count.19911","count.19912","count.19913","count.92111","count.92112","count.92113","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99911","count.99912","count.99913","count.11111","count.11112","count.11113","count.11911","count.11912","count.11913","count.12311","count.12312","count.12313","count.19111","count.19112","count.19113","count.19311","count.19312","count.19313","count.19993","count.91111","count.91112","count.91113","count.91911","count.91912","count.91913","count.92311","count.92312","count.92313","count.99991","count.99992","count.99993","NUTS_ID"
1,23200,3613,128491,2320,1009,35066,629,328,4206,2674,921,9120,434,17,14043,244,1,4270,821,206,47017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SE12"
2,966377,228915,10913157,50855,8811,1036096,21821,3352,267449,81769,48020,721889,8965,3974,206397,66031,16587,409232,74073,15692,968367,243014,154877,736894,3765,454,37623,30939,3495,440087,41639,12468,349978,3,1,375,436,114486,30469,290239,29124,1306,63038,1387,234,5979,1525,644,40189,"SE21"
