"ID","count.12111","count.12112","count.12113","count.12911","count.12912","count.12913","NUTS_ID"
1,6425,10383,158332,11,3,5950,"HU12"
2,116440,67715,2717221,5642,2239,213420,"HU23"
3,6656,1906,168038,886,573,96059,"HU21"
4,329854,64319,1638250,6731,612,23947,"HU32"
5,16509443,5600925,65297404,248322,63226,1533532,"HU33"
6,75563,16609,307317,802892,245821,3657334,"RS12"
