"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11311","count.11312","count.11313","count.11321","count.11322","count.11323","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.19111","count.19112","count.19113","count.19313","count.19911","count.19912","count.19913","count.31111","count.31112","count.31113","count.31121","count.31122","count.31123","count.32111","count.32112","count.32113","count.32121","count.32122","count.32123","count.32321","count.32322","count.32323","count.32921","count.32922","count.32923","count.92111","count.92112","count.92113","count.92121","count.92122","count.92123","count.92311","count.92313","count.92321","count.92323","count.92911","count.92912","count.92913","count.92921","count.92922","count.92923","count.99111","count.99113","count.99123","count.99313","count.99911","count.99913","count.99923","NUTS_ID"
1,1567894,766692,9822433,2602587,1310088,9371911,19903,12307,172454,70584,38545,346292,10559,3050,72699,4334,2587,41805,4545989,1437015,34414675,3494230,1919505,14257610,73856,41917,811000,62828,51459,508243,90941,25226,849947,24020,8347,329493,214,1,8038,80,449,1,32212,1154,458,793,487091,177932,678765,1260,49,6714,1800938,628800,2090784,4424,718,2358,2503,291,12456,2313,30,63806,13015,478,311987,1942,6393,939,7528,423,6,46280,303,34,37501,29,5146,1355,2168,24,24282,3783,"FRI1"
2,62209,24934,254711,0,0,0,0,0,0,0,0,0,254,199,1211,0,0,0,50330,16269,428298,0,0,0,415,61,1456,0,0,0,365,13,1050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRJ2"
