"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,6897747,2785706,45946967,217492,72872,3216973,91814,10347,650737,"PL41"
2,2854773,354704,21127444,415356,54921,5385899,69171,8293,1032396,"PL42"
3,1196494,353955,6480810,30599,4716,476572,7542,809,254891,"PL43"
