"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,8712177,2026546,50490683,1824347,449521,9516290,206662,38907,2250463,"PL63"
2,2281974,733800,19588341,52399,18303,871310,50268,12627,554075,"PL61"
3,33867,6231,170481,7878,3273,72079,910,70,26518,"PL41"
