"ID","count.12111","count.12112","count.12113","count.12913","count.19111","count.19112","count.19113","count.19311","count.19312","count.19313","count.19911","count.19912","count.19913","count.19993","count.99111","count.99112","count.99113","count.99911","count.99912","count.99913","count.99991","count.99992","count.99993","count.12311","count.12312","count.12313","count.12911","count.12912","count.19991","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.99311","count.99312","count.99313","NUTS_ID"
1,870,26,6788,313,14678,1039,80538,737,1,16641,3232,152,51835,93,3546,20,20442,11078,918,152936,128,35,9282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SE11"
2,2153665,599314,11996587,1744782,17045,3818,139596,786,183,5946,25912,6858,365762,4042,26988,4645,200544,97234,20764,1303860,2392,619,134766,744004,116844,4142654,140696,14263,28,354533,92652,2000211,35954,6972,273214,47170,4692,499617,812,52,7209,"SE12"
3,59742,17342,488699,63638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,33,6163,684,65,0,0,0,0,0,0,0,0,0,0,0,0,0,"SE21"
