"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.92111","count.92112","count.92113","count.92911","count.92912","count.92913","count.92923","count.11221","count.11222","count.11223","count.11321","count.11322","count.11323","count.12221","count.12222","count.12223","count.12321","count.12322","count.12323","count.91121","count.91122","count.91123","count.92121","count.92122","count.92123","count.92921","count.92922","NUTS_ID"
1,768,1202,7869,234504,4784,139783,65900,17053,328413,2123123,139366,4243022,14393,27925,239127,147138,58764,574619,134427,195458,3000534,1027880,295197,4708122,154,204,2142,5182,3679,498288,291015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH01"
2,0,0,0,0,0,0,0,0,0,45393,1541,48380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CH02"
3,0,0,0,521745,78828,1561778,0,0,0,1566,348,10260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474,716,8810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FRC2"
4,623,303,8101,217728,6068,285633,0,0,0,7560,6,32480,530232,44181,1633895,1420960,8140,1083769,44914,133,292926,104542,209,1776317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ITC2"
5,20885,10247,87512,10497827,2778697,25343323,93,90,1273,962990,25486,1675221,464222,161264,1362001,4390870,3449476,13142060,30286,5578,718619,410117,80691,3867298,6044,27646,128835,163,518,1000008,341831,28087,31000,143567,16835,46885,50702,21108,24344,113894,15412,42623,37543,2591,4779,27071,7718,16672,69400,3,1,"FRK2"
