"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.91111","count.91113","count.91913","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.91112","count.91911","count.91912","NUTS_ID"
1,103796,47456,198278,345653,162292,993678,718,113,5669,2158074,377020,12323869,101590,9953,721498,3723069,783022,17650417,38796,2640,189094,41961,6773,1278184,1400,2,38698,26,112,49,96,146,172,359,328,289,0,0,0,0,0,0,"SE23"
2,0,0,0,0,0,0,0,0,0,16757,2362,69964,0,0,0,12936,1363,120489,0,0,0,0,0,0,0,0,0,0,241,27502,3412,1199,13082,2294,965,6487,190,215,5742,0,0,0,"SE12"
3,86652,19579,549363,53241,7276,331815,5152,1030,1684229,3878534,786761,27241268,0,0,0,2193462,353813,14946432,0,0,0,132502,18762,2771663,0,0,0,31507,176392,2505506,42126,17894,143694,15398,4159,59333,4507,1748,290872,32927,12929,8984,"SE21"
