"ID","count.11111","count.11112","count.11113","count.11311","count.11312","count.11313","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.19111","count.19112","count.19113","count.19311","count.19312","count.19313","count.19911","count.19912","count.19913","count.31111","count.31112","count.31113","count.31311","count.31312","count.31313","count.31911","count.31912","count.31913","count.32111","count.32112","count.32113","count.32311","count.32312","count.32313","count.32911","count.32912","count.32913","count.39111","count.39112","count.39113","count.39911","count.39912","count.39913","count.91111","count.91112","count.91113","count.91311","count.91312","count.91313","count.91911","count.91912","count.91913","count.92111","count.92112","count.92113","count.92311","count.92312","count.92313","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99311","count.99312","count.99313","count.99911","count.99912","count.99913","count.92991","count.92993","count.99991","count.99993","NUTS_ID"
1,32529,35884,70023,5364,4350,11139,141533,166509,434671,63271,57531,126757,5155,4613,21630,4650,5025,18403,43,106,16,2567,2224,10087,753741,381563,1123942,277881,173803,339158,1069,819,7447,3119989,3984728,6847037,1124995,1105981,1914286,35437,27981,176956,4059,1902,10188,2436,886,15693,32590,20327,41416,3831,1054,1325,815,880,1567,322622,239667,593345,35952,50717,105205,48372,18862,211842,5240,1522,8213,10,26,219,2765,644,36293,0,0,0,0,"FRD1"
2,0,0,0,0,0,0,578422,309549,2746943,46932,19982,163879,37110,11165,202615,11926,6711,46962,148,56,1656,2082,1418,36613,0,0,0,0,0,0,0,0,0,169226,94304,691414,11827,7805,42306,13472,5922,22103,0,0,0,1,0,29,0,0,0,0,0,0,0,0,0,88656,33602,297206,36,13,465,15826,3685,56902,3604,505,6515,14,0,646,3715,446,18291,503,2272,182,443,"FRH0"
