"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11321","count.11322","count.11323","count.11911","count.11913","count.11921","count.11922","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.12991","count.12993","count.19121","count.19122","count.19123","count.19321","count.19322","count.19323","count.19921","count.19922","count.19923","count.19991","count.19993","count.31111","count.31113","count.31121","count.31122","count.31123","count.31321","count.31322","count.31323","count.31911","count.31913","count.31921","count.31922","count.31923","count.32111","count.32112","count.32113","count.32121","count.32122","count.32123","count.32321","count.32322","count.32323","count.32911","count.32912","count.32913","count.32921","count.32922","count.32923","count.39121","count.39122","count.39123","count.39921","count.39922","count.39923","count.91121","count.91122","count.91123","count.91921","count.91922","count.91923","count.91991","count.91993","count.92121","count.92122","count.92123","count.92321","count.92322","count.92323","count.92921","count.92922","count.92923","count.92991","count.92992","count.92993","count.99121","count.99122","count.99123","count.99321","count.99323","count.99921","count.99922","count.99923","count.99991","count.99992","count.99993","NUTS_ID"
1,5469,678,1187,4216160,156958,1822978,217517,5217,120099,1680,1140,114955,6318,147385,345,5,3627,9106642,46227,14254339,577801,5286,859186,1417,2,139870,408546,2456,3199710,2336,236,9309,63,56328,169,19,2696,16711,171,156335,201,300,3394,1776,19718828,964463,4338365,172420,6030,68252,255,24,116648,7182,108655,5316,8,11219,1379404,17307,898890,22463,808,38817,1728,15,46962,37479,271,183148,4335,236,19887,9261,110,37206,287806,15790,93873,264436,19362,177990,4969,978,831577,3564,1206114,48108,97,48762,763278,3450,459973,12756,11,6444,6597,131,37100,110,1160,46098,792,258777,3570,1,11487,"IE04"
2,0,0,0,247041,8925,103537,0,0,0,0,0,122129,4513,194311,0,0,0,2372,12,44092,0,0,0,0,0,0,0,0,0,0,0,223,0,2162,0,0,0,863,36,8106,0,0,0,0,107990,21546,40266,0,0,0,0,0,26658,5053,37367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,80,8081,570,59,15673,99927,9934,16771,20074,3125,28394,0,0,118,0,883,0,0,0,0,0,0,0,0,0,13,60,1321,0,0,106,52,2154,0,0,0,"IE05"
