"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11311","count.11312","count.11313","count.11321","count.11322","count.11323","count.11911","count.11912","count.11913","count.11921","count.11922","count.11923","count.12121","count.12122","count.12123","count.12321","count.12322","count.12323","count.12921","count.12922","count.12923","count.19121","count.19122","count.19123","count.19321","count.19322","count.19323","count.19911","count.19912","count.19913","count.19921","count.19922","count.19923","count.31111","count.31112","count.31113","count.31121","count.31122","count.31123","count.31311","count.31312","count.31313","count.31321","count.31322","count.31323","count.31921","count.31922","count.31923","count.32111","count.32112","count.32113","count.32121","count.32122","count.32123","count.32311","count.32312","count.32313","count.32321","count.32322","count.32323","count.32921","count.32922","count.32923","count.91121","count.91122","count.91123","count.91321","count.91322","count.91323","count.91921","count.91922","count.91923","count.92121","count.92122","count.92123","count.92321","count.92322","count.92323","count.92921","count.92922","count.92923","count.99121","count.99122","count.99123","count.99321","count.99323","count.99921","count.99922","count.99923","count.39121","count.39122","count.39123","count.39321","count.39322","count.39323","count.39921","count.39922","count.39923","count.99322","NUTS_ID"
1,986,1543,2925,1509246,427678,6019434,145,107,167,254833,84115,1116751,387,1808,3973,17496,5873,85746,1213543,411217,5222937,275034,87621,1307435,4686,2039,37499,9796,4638,50141,795,193,2248,13,613,1925,1475,690,34785,4919,2123,21042,164300,142007,564354,51006,21916,95057,319265,260818,588938,454,104,2523,3160,1456,9507,170585,92533,477916,46064,20679,81638,240102,151834,435000,6782,448,14689,25916,20803,114707,846,2,7300,2152,2284,14327,41408,20853,262919,5261,901,34970,6794,772,55987,3422,6379,17843,14,5017,2253,2144,31738,0,0,0,0,0,0,0,0,0,0,"ES11"
2,0,0,0,1434429,270380,7615268,0,0,0,240209,56067,714535,0,0,0,12432,3270,111412,204201,55527,897530,31379,12639,99953,2271,1584,13752,9384,3770,26246,1006,57,2723,0,0,0,2613,554,24054,0,0,0,143847,37689,373610,0,0,0,127190,43034,200443,6620,2009,30766,0,0,0,43625,24145,84620,0,0,0,961,1232,8794,0,0,0,210,95,808,345,351,596,2568,570,3693,0,0,0,0,0,0,0,0,0,176,43,461,6,13,529,162,3056,1676,312,3805,10601,1364,7611,4824,662,7874,19,"ES12"
