"ID","count.99911","count.99912","count.99913","count.99993","count.11111","count.11112","count.11113","count.11211","count.11212","count.11213","count.11911","count.11912","count.11913","count.12111","count.12113","count.12911","count.12913","count.19111","count.19112","count.19113","count.19211","count.19212","count.19213","count.19911","count.19912","count.19913","count.31111","count.31112","count.31113","count.31211","count.31212","count.31213","count.31911","count.31912","count.31913","count.32111","count.32112","count.32113","count.32211","count.32212","count.32213","count.32911","count.32912","count.32913","count.39111","count.39112","count.39113","count.39211","count.39212","count.39213","count.39911","count.39912","count.39913","count.39993","count.91111","count.91112","count.91113","count.91211","count.91212","count.91213","count.91911","count.91913","count.92111","count.92112","count.92113","count.92211","count.92212","count.92213","count.92911","count.92912","count.92913","count.99111","count.99112","count.99113","count.99211","count.99212","count.99213","NUTS_ID"
1,171,138,1568,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EL42"
2,16492,766,61310,0,21044,2731,444239,1119,355,54874,333,235,9320,105,4935,2,1572,13349,1790,109084,1878,117,12872,1070,27,26000,6640,703,311777,933,152,25127,2480,36,29671,80481,2231,292106,48110,3186,239314,15819,370,108682,24514,1357,91999,2344,253,13664,669,76,29334,63,25473,275,211294,686,3,3272,3010,20302,9648,101,53302,3259,77,48857,1434,39,18059,14887,702,83862,13104,580,21514,"EL43"
