"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12911","count.12912","count.12913","count.12921","count.12922","count.12923","count.11211","count.11212","count.11213","count.11311","count.11312","count.11313","count.11911","count.11912","count.11913","count.12211","count.12212","count.12213","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.11321","count.11322","count.11323","count.11921","count.11922","NUTS_ID"
1,212,348,14108,8452,1,10435,327,158924,21728,1949843,311673,900,425645,13310,62,19343,101837,12,227533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ES51"
2,2533663,877829,18879890,13736,4254,66016,0,1549037,243664,7255986,210541,33737,957414,54125,3304,140037,95,260,22104,315401,92326,2343609,2,13,7724,41882,1740,124677,26914,7242,239471,580,27,9915,1484,21,49214,0,0,0,0,0,"FRJ1"
3,4877411,1708132,19644402,348810,26086,1266501,25415,4820261,1044734,16204083,2022312,80915,4076297,422485,21675,732099,259138,6220,340705,23074,6509,171777,31796,24641,37245,36991,2791,161680,4666,901,40610,4629,2040,25518,1664,415,40000,21,42,9,20493,467,"FRJ2"
