"ID","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","NUTS_ID"
1,1113170,274561,9175800,778035,100640,8759322,37901,3846,1458524,"SE12"
2,4836977,1083264,42948628,1573000,153688,19943415,244582,40114,7474533,"SE31"
