"ID","count.11111","count.11113","count.11311","count.11313","count.12111","count.12112","count.12113","count.12311","count.12312","count.12313","count.12911","count.12912","count.12913","count.11112","NUTS_ID"
1,2,9238,163,9490,165763,32418,743176,30536,1383,235748,2172,450,9878,0,"PL51"
2,9603,60801,0,0,6412964,3632114,50469299,557983,211127,6849305,239723,37123,1507167,5806,"PL41"
3,0,0,0,0,2820351,957991,16046974,786764,191923,7349578,80393,23729,508865,0,"PL43"
