"ID","count.11111","count.11112","count.11113","count.11121","count.11122","count.11123","count.11311","count.11312","count.11313","count.11321","count.11322","count.11323","count.11913","count.11923","count.12111","count.12112","count.12113","count.12121","count.12122","count.12123","count.12311","count.12312","count.12313","count.12321","count.12322","count.12323","count.12911","count.12912","count.12913","count.12923","count.11911","count.11912","count.11921","count.12921","NUTS_ID"
1,11691,190,59989,1432,30,436819,10341,401,32114,2291,6,454951,3915,1301,610323,16195,3359447,137504,2373,3590902,741354,28948,3989526,103533,1475,2168382,9275,1787,258122,14986,0,0,0,0,"PL82"
2,187354,13025,414804,116393,13318,889882,96268,10809,542777,158751,15271,1927880,272,3442,1012116,311876,5579296,72810,5681,1644406,124329,19969,2012368,60808,4022,1594167,8979,3655,231215,22809,76,17,17,22,"SK04"
